6161 3
7.804200 5.267400 -0.506500 
7.816000 5.339600 -0.416200 
7.819900 5.371400 -0.414800 
7.823800 5.424000 -0.458900 
7.778300 5.382200 -0.581200 
7.780900 5.426100 -0.543900 
7.778400 5.420400 -0.456800 
7.781500 5.339900 -0.592600 
8.038700 5.383300 -0.455100 
8.040800 5.346100 -0.567800 
8.046200 5.310000 -0.573100 
8.037400 5.398900 -0.507100 
8.033400 5.253900 -0.502200 
8.039900 5.346700 -0.419700 
8.035500 5.381700 -0.540200 
8.038200 5.317200 -0.412100 
8.065700 5.381200 -0.454200 
8.068200 5.341700 -0.566200 
8.071200 5.305400 -0.569200 
8.066600 5.395000 -0.502500 
8.058400 5.257200 -0.501400 
8.068600 5.342700 -0.418100 
8.069200 5.378000 -0.538800 
8.066000 5.312000 -0.412200 
8.240400 5.244400 -0.484400 
8.208200 5.302600 -0.413100 
8.167400 5.371400 -0.528800 
8.221200 5.306600 -0.558900 
8.201400 5.334800 -0.558600 
8.156400 5.382900 -0.496900 
8.158000 5.374200 -0.458400 
8.190000 5.334300 -0.416600 
7.954200 5.265900 -0.458700 
7.795600 5.283600 -0.458300 
7.601000 5.276100 -0.442400 
7.677300 5.275300 -0.458600 
8.334700 5.307700 -0.450100 
8.341200 5.328000 -0.457800 
8.297200 5.274100 -0.445800 
8.159600 5.251300 -0.451100 
7.702700 5.275700 -0.461600 
7.830000 5.281700 -0.459700 
7.848800 5.276500 -0.458000 
8.076000 5.264400 -0.456800 
7.776500 5.279500 -0.459200 
7.809500 5.286400 -0.458000 
8.033000 5.260600 -0.459700 
8.058700 5.265700 -0.457000 
8.231700 5.254100 -0.446700 
8.061600 5.266200 -0.537700 
8.039200 5.263700 -0.541700 
7.804000 5.279700 -0.559100 
7.770900 5.278100 -0.560100 
8.242000 5.255200 -0.523500 
7.701900 5.277200 -0.558200 
8.301300 5.270800 -0.517500 
8.344500 5.332500 -0.505800 
7.675200 5.275700 -0.557600 
8.081000 5.267700 -0.538300 
7.826400 5.279100 -0.558000 
8.166500 5.253600 -0.530500 
7.849000 5.274300 -0.554200 
7.564900 5.250000 -0.576200 
7.791600 5.278600 -0.558900 
7.957300 5.266600 -0.547800 
8.339400 5.313800 -0.510900 
8.204200 5.356000 -0.488700 
8.334800 5.335100 -0.481600 
8.306300 5.344100 -0.442100 
8.311500 5.345300 -0.522500 
8.215100 5.354500 -0.517000 
8.283700 5.349500 -0.530200 
8.279600 5.349100 -0.439100 
8.212400 5.355900 -0.458800 
8.332000 5.334100 -0.462100 
8.333500 5.335600 -0.501000 
8.286700 5.356500 -0.484500 
8.308400 5.352700 -0.483200 
8.112400 5.299200 -0.564800 
8.116300 5.333500 -0.564500 
8.099800 5.250700 -0.500100 
8.110100 5.379000 -0.457900 
8.117300 5.376100 -0.534700 
8.114900 5.390900 -0.501500 
8.109700 5.304300 -0.411300 
8.110700 5.335200 -0.415100 
8.100500 5.257900 -0.454600 
8.102700 5.264400 -0.539700 
7.780500 5.350000 -0.617800 
7.783100 5.336000 -0.744200 
7.775900 5.383300 -0.717400 
7.779600 5.389600 -0.665400 
7.665200 5.404500 -0.667000 
7.666900 5.396600 -0.724800 
7.684400 5.335700 -0.751200 
7.675000 5.355200 -0.607400 
7.584500 5.350400 -0.608900 
7.590200 5.331700 -0.752600 
7.568800 5.395600 -0.720900 
7.497700 5.415000 -0.667000 
7.491900 5.397500 -0.722900 
7.528400 5.322400 -0.759100 
7.550500 5.349200 -0.611800 
7.561700 5.404500 -0.664100 
7.679700 5.322500 -0.608500 
7.782100 5.325900 -0.611600 
7.542400 5.280900 -0.752800 
7.597500 5.295900 -0.749900 
7.689600 5.300600 -0.749200 
7.788100 5.309400 -0.744800 
7.573100 5.315300 -0.607700 
7.590000 5.320800 -0.604600 
7.984000 5.362200 -0.630400 
7.952000 5.373500 -0.658700 
8.006500 5.357500 -0.629400 
7.999600 5.351700 -0.724100 
8.018100 5.347800 -0.723200 
8.049900 5.350400 -0.677100 
7.961600 5.365100 -0.707500 
7.951400 5.372000 -0.685200 
8.046200 5.361200 -0.678300 
7.958100 5.371200 -0.684000 
8.010300 5.364800 -0.634300 
8.020100 5.356500 -0.718400 
7.965100 5.365300 -0.707700 
8.002900 5.359600 -0.719900 
7.990700 5.368900 -0.636500 
7.775800 5.395700 -0.692100 
7.663600 5.408600 -0.697600 
7.493900 5.415700 -0.698200 
7.561400 5.407100 -0.692200 
7.958700 5.372500 -0.659500 
7.788200 5.266600 -0.682100 
7.683300 5.260300 -0.677600 
7.550700 5.255500 -0.668300 
7.593100 5.262300 -0.669900 
7.939000 5.375600 -0.658000 
7.963300 5.353000 -0.625400 
7.984400 5.343800 -0.731900 
7.948100 5.365300 -0.710800 
8.003300 5.334700 -0.730700 
7.984100 5.342200 -0.622100 
7.940300 5.374400 -0.686300 
8.043200 5.311900 -0.674000 
7.927200 5.269700 -0.675600 
